sym,at,day,ses,up48,dn48,went,px48,oi48,fund_min,board,lead,top24,ladder,r1,fneg,flush,topdn
BR,23.09 12:41,Wed,Лондон,8,-22,0,-5,-15,0.005,3.7,0,0,1,0,0,0,0
ASTR,17.09 03:40,Thu,Токио,6,-3,0,-2,75,-1.571,0.6,1,0,0,1,1,0,0
ASTR,18.09 03:39,Fri,Токио,9,0,0,-3,-37,-0.379,2.1,1,6,0,0,1,0,0
SYN,17.09 04:58,Thu,Токио,44,-11,1,101,272,-0.006,1.1,1,-32,1,0,0,0,1
SYN,18.09 03:39,Fri,Токио,45,-13,1,99,147,-0.007,2.1,1,12,1,0,0,0,0
SYN,19.09 02:11,Fri,Сидней,29,-12,0,27,4,-0.007,6.4,1,29,1,0,0,0,0
SYN,19.09 22:58,Sat,НЙ,13,-23,0,28,20,0.004,1.5,1,31,1,0,0,0,0
SYN,21.09 20:43,Mon,НЙ,11,-28,0,2,-3,0.005,3.9,1,1,1,0,0,0,0
AVA,17.09 05:39,Thu,Токио,71,-9,1,13,42,0.001,0.8,1,-61,0,0,0,0,1
AVA,18.09 05:25,Fri,Токио,3,-22,0,74,336,-1.08,3.4,1,-28,1,0,1,0,1
AVA,19.09 03:39,Sat,Токио,18,-8,0,50,233,-1.08,6.8,1,18,1,0,1,0,0
AVA,20.09 03:42,Sun,Токио,20,-5,0,-15,-22,-0.664,1.5,1,10,1,0,1,0,0
AVA,20.09 22:12,Sun,НЙ,13,-8,0,7,0,-0.363,-0.9,1,-3,1,0,1,0,0
SENT,17.09 13:09,Thu,Лондон,18,-1,0,4,-2,0.005,2.5,1,3,0,0,0,0,0
SENT,17.09 23:09,Thu,НЙ,13,-2,0,10,4,0.005,3.9,1,2,0,0,0,0,0
SENT,18.09 14:39,Fri,Лондон,6,-2,0,15,17,0.005,3.0,1,-5,0,0,0,0,0
FIL,17.09 17:09,Thu,НЙ,23,-1,0,-7,-5,-0.008,3.4,1,8,0,0,0,0,0
ONE,18.09 05:25,Fri,Токио,218,-13,1,147,314,-2.0,3.4,1,-32,1,0,1,0,1
ONE,19.09 03:39,Sat,Токио,154,-7,1,81,64,-2.0,6.8,1,10,1,0,1,0,0
ONE,21.09 11:51,Mon,Лондон,25,-34,0,82,52,-0.355,3.7,1,-12,1,0,1,0,1
ONE,22.09 02:12,Mon,Сидней,8,-44,0,-9,-25,-0.355,3.8,1,-6,1,0,1,0,0
ONE,22.09 19:47,Tue,НЙ,-3,-41,0,9,8,-0.171,0.4,1,0,1,0,1,0,0
DRIFT,18.09 05:46,Fri,Токио,0,-18,0,52,120,0.005,4.3,1,33,0,0,0,0,0
DRIFT,20.09 02:11,Sat,Сидней,14,-13,0,9,13,0.005,1.5,1,2,1,0,0,0,0
DRIFT,20.09 18:23,Sun,НЙ,13,-6,0,10,-24,0.005,-3.3,0,2,1,0,0,1,0
DRIFT,21.09 18:14,Mon,НЙ,48,-9,1,18,-11,0.005,7.4,1,11,1,0,0,0,0
DRIFT,22.09 21:47,Tue,НЙ,11,-29,0,52,71,0.005,2.4,1,-6,1,0,0,0,0
AXL,18.09 09:22,Fri,Токио,11,0,0,0,1,-0.043,3.8,1,13,0,0,0,0,0
AXL,19.09 02:11,Fri,Сидней,4,-2,0,13,-4,-0.006,6.4,1,5,0,0,0,0,0
0G,19.09 06:10,Sat,Токио,9,-4,0,13,26,0.005,5.4,1,6,1,0,0,0,0
G,19.09 08:40,Sat,Токио,87,-30,1,91,726,0.005,3.4,1,6,1,0,0,0,0
G,21.09 03:12,Mon,Токио,11,-9,0,-15,-46,-2.0,-0.6,1,-5,1,0,1,0,0
KSM,20.09 02:43,Sat,Сидней,4,-5,0,6,-26,-0.086,1.4,1,11,0,0,1,0,0
C,20.09 08:12,Sun,Токио,13,-15,0,46,111,-0.001,0.8,1,2,1,0,0,0,0
C,22.09 03:12,Tue,Токио,9,-8,0,10,29,0.005,4.3,1,3,1,1,0,0,0
LPT,20.09 15:59,Sun,Лондон,13,-1,0,1,2,0.005,-3.4,1,23,0,0,0,1,0
LPT,21.09 06:16,Mon,Токио,10,1,0,2,-4,0.005,1.8,1,9,0,0,0,0,0
STG,20.09 20:42,Sun,НЙ,13,-1,0,-12,-18,-0.024,-1.1,1,-8,1,0,0,1,0
STG,22.09 21:17,Tue,НЙ,11,-4,0,5,-19,-0.061,3.2,1,-30,1,0,1,0,1
STG,23.09 16:39,Wed,НЙ,9,-6,0,5,-15,0.005,2.3,0,4,1,0,0,0,0
SHELL,21.09 06:18,Mon,Токио,16,1,0,10,15,0.005,1.8,1,-20,0,1,0,0,1
SHELL,22.09 20:23,Tue,НЙ,4,-5,0,17,25,0.005,1.6,1,4,0,0,0,0,0
